Datotid,Varenummer,Varenavn,Volum,Pris,Literpris,Varetype,Produktutvalg,Butikkategori,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Farge,Lukt,Smak,Passertil01,Passertil02,Passertil03,Land,Distrikt,Underdistrikt,Argang,Rastoff,Metode,Alkohol,Sukker,Syre,Lagringsgrad,Produsent,Grossist,Distributor,Emballasjetype,Korktype,Vareurl
"",3501,Hammer,0.70,309.90,442.70,Vodka,Basisutvalget,Butikkategori 4,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"",Kornprit,Destillasjon. Ingen lagring.,42.70,Ukjent,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3501
"",3502,Hammer,0.35,184.90,528.30,Vodka,Basisutvalget,Butikkategori 5,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"",Kornprit,Destillasjon. Ingen lagring.,42.70,Ukjent,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3502
"",3801,Finlandia,0.70,304.90,435.60,Vodka,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Finland,Øvrige,Øvrige,"","Korn, Enzymer, Gjær, Vann.","Kornet renses, males, blandes med vann og kokes. Deretter tilsettes gjær for å initiere alkohol-gjæringen. Sukker omdannes til ethy",37.50,Ukjent,Ukjent,"",Altia Corp.,Interbev AS,Trebuchet AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3801
"",3803,Finlandia,0.05,59.00,1180.10,Vodka,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Finland,Øvrige,Øvrige,"","Korn, Enzymer, Gjær, Vann.","Kornet renses, males, blandes med vann og kokes. Deretter tilsettes gjær for å initiere alkohol-gjæringen. Sukker omdannes til ethy",40.00,Ukjent,Ukjent,"",Altia Corp.,Interbev AS,Trebuchet AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3803
"",3901,Absolut Vodka,0.70,304.90,435.60,Vodka,Basisutvalget,Butikkategori 4,0,0,0,0,0,"","","","","","",Sverige,Øvrige,Øvrige,"",100% Vinterhvete,Tradisjonell fermentering og destillasjon i kolonneapparat.,40.00,Ukjent,Ukjent,"",The Absolut Company,Pernod Ricard Norway AS,SKANLOG VSD AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3901
"",3902,Absolut Vodka,0.35,179.90,514.00,Vodka,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Sverige,Øvrige,Øvrige,"",100% Vinterhvete,"Tradisjonell fermentering og destillasjon i kollonneapparat, hvoretter råspriten rektifiseres.Ingen fatlagring. Ingen flaskelagring.",40.00,Ukjent,Ukjent,"",The Absolut Company,Pernod Ricard Norway AS,SKANLOG VSD AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-3902
"",4401,Hammer Lime,0.70,309.90,442.70,Vodka,Basisutvalget,Butikkategori 6,0,0,0,0,0,"","","","","","",Norge,Øvrige,Øvrige,"","Kornprit, limearoma",Destillasjon. Ingen lagring.,42.70,Ukjent,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4401
"",4801,Absolut Citron,0.70,324.90,464.10,Vodka,Basisutvalget,Butikkategori 2,0,0,0,0,0,"","","","","","",Sverige,Øvrige,Øvrige,"",100% Vinterhvete,"Tradisjonell fermentering og destillasjon, hvoretter råspriten rektifiseres. Finspriten smaksettes med naturlige aromaer fra forskellige sitrusfrukter. Ingen fatlagring. Ingen flaskelagring.",40.00,Ukjent,Ukjent,"",The Absolut Company,Pernod Ricard Norway AS,SKANLOG VSD AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-4801
"",5201,Bonaparte V.S.O.P.,0.70,429.90,614.10,Druebrennevin,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Ugni Blanc 100%,Tradisjonell dobbeltdestillasjon. Lagret minst 4 år på eikefat.,40.00,Ukjent,Ukjent,"","",Arcus AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5201
"",5401,Bache-Gabrielsen 3 kors,0.70,369.90,528.40,Druebrennevin,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Ugni Blanc,Tradisjonell dobbeldestillasjon. 3 - 5 års fatlagring.,40.00,Ukjent,Ukjent,"",Bache-Gabrielsen,Vectura AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5401
"",5402,Bache-Gabrielsen 3 kors,0.35,209.90,599.70,Druebrennevin,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Ugni Blanc,Tradisjonell dobbeldestillasjon. 3 - 5 års fatlagring.,40.00,Ukjent,Ukjent,"",Bache-Gabrielsen,Vectura AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5402
"",5404,Bache-Gabrielsen 3 kors,0.20,154.90,774.50,Druebrennevin,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Ugni Blanc,Tradisjonell dobbeldestillasjon. 3 - 5 års fatlagring.,40.00,Ukjent,Ukjent,"",Bache-Gabrielsen,Vectura AS,Vectura AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5404
"",5701,Renault Carte Noire Extra Old,0.70,549.90,785.60,Druebrennevin,Basisutvalget,Butikkategori 6,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,"","","",Lagret 12 år på eikefat.,40.00,Ukjent,Ukjent,"",Renault,Interbev AS,Trebuchet AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-5701
"",6201,Baron Otard V.S.O.P. Fine Champagne,0.70,514.90,735.60,Druebrennevin,Basisutvalget,Butikkategori 6,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Grande og Petit Champagne,Lagret opp til 8 år.,40.00,Ukjent,Ukjent,"",Ch. de Cognac,Bacardi Norge AS,Vectura AS,Engangsflasker av glass,Skrukapsel,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6201
"",6202,Baron Otard V.S.O.P. Fine Champagne,0.35,284.90,814.00,Druebrennevin,Bestillingsutvalget,Uavhengig sortiment,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Grande og Petit Champagne,Lagret opp til 8 år.,40.00,Ukjent,Ukjent,"",Ch. de Cognac,Bacardi Norge AS,Vectura AS,Engangsflasker av glass,Annet,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6202
"",6301,Hennessy Very Special,0.70,399.90,571.30,Druebrennevin,Basisutvalget,Butikkategori 4,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"","Ugni Blanc (fra Petite Champagne, Grande Champagne, Fins Bois og Borderies).",Dobbel destillering. Minimum 36 måneder fatlagring.,40.00,Ukjent,Ukjent,"","",Moët Hennessy Norge AS,SKANLOG VSD AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6301
"",6302,Hennessy Very Special,0.35,229.90,656.90,Druebrennevin,Basisutvalget,Butikkategori 6,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"","Ugni Blanc (fra Petite Champagne, Grande Champagne, Fins Bois og Borderies).",Dobbel destilleringMin. 36 md fatlagring,40.00,Ukjent,Ukjent,"","",Moët Hennessy Norge AS,SKANLOG VSD AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6302
"",6501,Larsen Very Special Vikings',0.70,389.90,557.00,Druebrennevin,Basisutvalget,Butikkategori 3,0,0,0,0,0,"","","","","","",Frankrike,Cognac Tradisjonell,Øvrige,"",Ugni Blanc,Tradisjonell produksjon.,40.00,12.00,Ukjent,"",Larsen,Interbev AS,Trebuchet AS,Engangsflasker av glass,"",http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-6501
